market,month,year,quantity,priceMin,priceMax,priceMod
CHENNAI,September,2012,110200,1013,1229,1123
CHENNAI,September,2013,109200,4939,5483,5217
CHENNAI,September,2014,117400,2176,2624,2404
CHENNAI,September,2015,115600,4968,5641,5318
CHENNAI,September,2016,115000,1100,1494,1328
CHENNAI,September,2017,122700,1458,1984,1755
CHENNAI,September,2018,81300,1387,1680,1533
CHENNAI,September,2019,93630,3510,3830,3675
CHENNAI,October,2004,111200,429,608,522
CHENNAI,October,2005,94500,893,1491,1191
CHENNAI,October,2006,107500,415,663,537
CHENNAI,October,2007,119900,975,1858,1425
CHENNAI,October,2008,108000,668,1045,868
CHENNAI,October,2009,108500,1420,1880,1652
CHENNAI,October,2010,109000,1783,2204,2006
CHENNAI,October,2011,117650,1297,1596,1470
CHENNAI,October,2012,108400,1171,1367,1269
CHENNAI,October,2013,111800,4304,5016,4676
CHENNAI,October,2014,96400,2124,2524,2338
CHENNAI,October,2015,116200,3613,3957,3800
CHENNAI,October,2016,119800,1086,1395,1245
CHENNAI,October,2017,103800,2567,3081,2886
CHENNAI,October,2018,111100,1659,1923,1791
CHENNAI,October,2019,111400,3371,3762,3567
CHENNAI,November,2004,110300,378,655,521
CHENNAI,November,2005,96400,848,1552,1187
CHENNAI,November,2006,119000,471,793,638
CHENNAI,November,2007,104300,860,1525,1220
CHENNAI,November,2008,105300,988,1642,1319
CHENNAI,November,2009,87900,1695,2332,2045
CHENNAI,November,2010,104900,2396,2971,2688
CHENNAI,November,2011,108710,1189,1633,1425
CHENNAI,November,2012,106500,1800,2050,1921
CHENNAI,November,2013,101700,4364,4950,4705
CHENNAI,November,2014,98800,2280,2560,2420
CHENNAI,November,2015,104300,3236,3623,3432
CHENNAI,November,2016,126000,1221,1521,1371
CHENNAI,November,2017,109400,3858,4344,4110
CHENNAI,November,2018,66500,1683,1950,1817
CHENNAI,November,2019,98560,6060,6810,6415
CHENNAI,December,2004,130700,386,603,500
CHENNAI,December,2005,105760,583,995,811
CHENNAI,December,2006,105500,603,1025,825
CHENNAI,December,2007,128900,618,1172,910
CHENNAI,December,2008,116000,963,1646,1317
CHENNAI,December,2009,112400,2017,2904,2506
CHENNAI,December,2010,109000,3164,4124,3646
CHENNAI,December,2011,130200,1254,1496,1367
CHENNAI,December,2012,63900,1746,2073,1910
CHENNAI,December,2013,105750,2439,2770,2609
CHENNAI,December,2014,117200,2221,2583,2404
CHENNAI,December,2015,91600,2106,2583,2367
CHENNAI,December,2016,110000,1286,1614,1468
CHENNAI,December,2017,101100,4032,4423,4214
CHENNAI,December,2018,109000,1367,1644,1533
CHENNAI,December,2019,106920,8696,11130,9876
,,Total,21747850,1435(Avg),1778(Avg),1612(Avg)
